4	22	t
4	29	t
280	164	t
280	165	t
161	152	t
161	157	t
280	166	t
280	167	t
281	164	t
281	165	t
281	166	t
281	167	t
282	168	t
282	169	t
282	170	t
282	171	t
282	172	t
283	173	t
283	174	t
283	7	t
283	175	t
283	176	t
284	177	t
284	178	t
284	179	t
284	180	t
284	181	t
156	152	t
156	154	t
156	155	t
31	36	t
31	37	f
31	38	f
31	39	f
31	40	f
31	41	f
31	42	f
31	43	f
31	44	t
31	45	t
31	46	t
31	47	t
31	48	t
31	49	t
31	50	t
31	51	t
32	36	t
32	37	f
32	38	f
32	39	f
32	40	f
32	41	t
32	42	t
32	52	t
32	44	t
32	45	t
32	46	t
32	47	t
32	53	t
32	54	t
32	55	t
32	56	t
33	36	t
33	37	t
33	38	t
33	39	t
33	40	t
33	41	t
33	42	t
33	57	t
33	44	t
33	45	t
33	46	t
33	47	t
33	58	t
33	59	t
33	60	t
33	61	t
248	3	t
248	6	t
248	5	t
248	4	t
249	3	t
249	6	t
249	5	t
249	4	t
48	62	t
48	64	t
48	65	t
48	63	t
48	66	t
48	67	t
48	68	t
48	69	t
48	70	t
48	71	t
48	72	t
48	73	t
48	6	t
48	74	t
48	75	t
48	76	t
48	77	t
48	78	t
48	79	t
48	80	t
48	81	t
51	62	t
51	89	f
51	65	f
51	63	f
51	66	f
51	67	f
51	90	f
51	69	f
51	70	f
51	71	t
51	72	t
51	6	t
51	74	t
51	91	t
51	76	t
51	77	t
51	78	t
51	79	t
51	80	t
51	81	t
52	62	t
52	89	f
52	65	f
52	63	f
52	66	t
52	67	t
52	90	t
52	69	t
52	70	t
52	71	t
52	72	t
52	6	t
52	74	t
52	91	t
52	76	t
52	77	t
52	78	t
52	79	t
52	80	t
52	81	t
53	62	t
53	63	f
53	89	t
53	65	t
53	66	t
53	67	t
53	90	t
53	69	t
53	70	t
53	71	t
53	72	t
53	6	t
53	74	t
53	91	t
53	76	t
53	77	t
53	78	t
53	79	t
53	80	t
53	81	t
54	62	t
54	89	f
54	65	f
54	63	t
54	66	t
54	67	t
54	90	t
54	69	t
54	70	t
54	71	t
54	72	t
54	6	t
54	74	t
54	91	t
54	76	t
54	77	t
54	78	t
54	79	t
54	80	t
54	81	t
55	62	t
55	89	t
55	65	t
55	63	t
55	66	t
55	67	t
55	90	t
55	69	t
55	70	t
55	71	t
55	72	t
55	6	t
55	74	t
55	91	t
55	76	t
55	77	t
55	78	t
55	79	t
55	80	t
55	81	t
57	92	t
57	93	t
57	94	t
57	95	t
57	96	t
57	97	t
57	98	t
57	99	t
57	100	t
57	101	t
57	102	t
57	103	t
57	104	t
57	105	t
247	107	t
247	147	t
247	114	t
247	148	t
247	149	t
247	150	t
247	151	t
146	151	t
146	147	t
146	107	t
146	148	t
146	149	t
146	150	t
146	114	t
96	62	t
96	121	t
96	122	t
96	6	t
96	74	t
96	75	t
96	76	t
96	123	t
96	124	t
96	80	t
96	125	t
96	126	t
97	62	t
97	127	t
97	128	t
97	6	t
97	74	t
97	75	t
97	76	t
97	123	t
97	124	t
97	80	t
97	125	t
97	129	t
98	62	t
98	130	t
98	131	t
98	6	t
98	74	t
98	75	t
98	76	t
98	123	t
98	124	t
98	80	t
98	132	t
98	133	t
144	151	t
144	147	t
144	107	t
144	148	t
144	149	t
144	150	t
144	114	t
145	107	t
145	147	t
145	114	t
145	148	t
145	149	t
145	150	t
145	151	t
147	107	t
147	147	t
147	114	t
147	148	t
147	149	t
147	150	t
147	151	t
148	107	t
148	147	t
148	114	t
148	148	t
148	149	t
